0.999526 (0.000100) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}
0.999526 (0.000090) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}
0.999508 (0.000127) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}
0.999526 (0.000080) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}
0.999526 (0.000072) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}
0.999409 (0.000117) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 10}
0.999427 (0.000072) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 50}
0.999450 (0.000088) with: {'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 100}
0.999485 (0.000071) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}
0.999520 (0.000086) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}
0.999532 (0.000086) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
0.999491 (0.000103) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}
0.999538 (0.000072) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}
0.999526 (0.000100) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}
0.999473 (0.000114) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}
0.999532 (0.000093) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}
0.999526 (0.000086) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}
0.999409 (0.000104) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 10}
0.999438 (0.000099) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 50}
0.999432 (0.000079) with: {'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 100}
0.999491 (0.000086) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}
0.999497 (0.000079) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}
0.999508 (0.000115) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}
0.999467 (0.000050) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10}
0.999497 (0.000101) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}
0.999520 (0.000093) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}
0.999456 (0.000094) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}
0.999479 (0.000093) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}
0.999491 (0.000086) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}
0.999427 (0.000054) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 10}
